Country,Destination,Region,Group,Prefix,Valid Date,End Date,Change,
Afghanistan,Afghanistan,,MDL Non Premium,93,01/01/2022 00:00,12/31/2099 23:59:59,,
Afghanistan,Afghanistan - Kabul,,MDL Non Premium,9320,01/01/2022 00:00,12/31/2099 23:59:59,,
Afghanistan,Afghanistan - Mobile - Areeba,,MDL Non Premium,9376,01/01/2022 00:00,12/31/2099 23:59:59,,
Afghanistan,Afghanistan - Mobile - Areeba,,MDL Non Premium,9377,01/01/2022 00:00,12/31/2099 23:59:59,,
Afghanistan,Afghanistan - Mobile - AT,,MDL Non Premium,9375,01/01/2022 00:00,12/31/2099 23:59:59,,
Afghanistan,Afghanistan - Mobile - AWC,,MDL Non Premium,9370,01/01/2022 00:00,12/31/2099 23:59:59,,
Afghanistan,Afghanistan - Mobile - AWC,,MDL Non Premium,9371,01/01/2022 00:00,12/31/2099 23:59:59,,
Afghanistan,Afghanistan - Mobile - Etisalat,,MDL Non Premium,9373,01/01/2022 00:00,12/31/2099 23:59:59,,
Afghanistan,Afghanistan - Mobile - Etisalat,,MDL Non Premium,9378,01/01/2022 00:00,12/31/2099 23:59:59,,
Afghanistan,Afghanistan - Mobile - Other,,MDL Non Premium,937,01/01/2022 00:00,12/31/2099 23:59:59,,
Afghanistan,Afghanistan - Mobile - Roshan,,MDL Non Premium,9372,01/01/2022 00:00,12/31/2099 23:59:59,,
Afghanistan,Afghanistan - Mobile - Roshan,,MDL Non Premium,9379,01/01/2022 00:00,12/31/2099 23:59:59,,
Afghanistan,Afghanistan - Mobile - Salaam,,MDL Non Premium,9374,01/01/2022 00:00,12/31/2099 23:59:59,,
Albania,Albania,,MDL Non Premium,355,01/01/2022 00:00,12/31/2099 23:59:59,,
Albania,Albania - FOLO,,MDL Non Premium,3554249,01/01/2022 00:00,12/31/2099 23:59:59,,
Albania,Albania - FOLO,,MDL Non Premium,3554250,01/01/2022 00:00,12/31/2099 23:59:59,,
